Артикул;Наименование товара;Название ТР (ТС);ТК;Признак-категория;Доступное кол-во;Цена 1;Процент НДС;Скидка;Экономия в руб.;Цена со скидкой
256112;Антистеплер 6412 для скоб №10,24/6,26/6, с фикс., черный;ТР Офисные принадлежности;Степлеры, антистеплеры;D;-1876;82,2;20;0,2;16,44;65,76
256112;Антистеплер 6412 для скоб №10,24/6,26/6, с фикс., черный;ТР Офисные принадлежности;Степлеры, антистеплеры;D;-1876;82,2;20;0,2;16,44;65,76
900305;Степлер Attache Economy до 20 листов, на 24/6, 26/6 пластик, чёрный;ТР Офисные принадлежности;Степлеры, антистеплеры;D;6433;199;20;0,55;109,45;89,55
1005056;Степлер Attache Economy до 25 листов, 24/6, 26/6, пласиковый корпус, чёрный;ТР Офисные принадлежности;Степлеры, антистеплеры;D;-463;232;20;0,56;129,92;102,08
1271888;Степлер Attache PSW1020 (№10) до 20 лист., пластик/металл, белый;ТР Офисные принадлежности;Степлеры, антистеплеры;П;15;257;20;0,2;51,4;205,6
256103;Дырокол ATTACHE 6720 до 20л., металл.,с лин.,с рез.вставкой,серебр.;ТР Офисные принадлежности;Дыроколы;О;3810;616;20;0,2;123,2;492,8
882854;Дырокол Attache Economy до 30 листов, с линейкой, цвет черный;ТР Офисные принадлежности;Дыроколы;О;336;432;20;0,31;133,92;298,08
933327;Зажимы для бумаг 32мм 12шт/уп Attache Economy, в карт,кор, цвет черный;ТР Офисные принадлежности;Скрепки, кнопки, зажимы для бумаг;D;23338;101;20;0,68;68,68;32,32
166955;Зажимы для бумаг 25мм 12шт./уп.Комус, в картонной коробке;ТР Офисные принадлежности;Скрепки, кнопки, зажимы для бумаг;О;2527;124;20;0,2;24,8;99,2
959078;Скрепки Attache, 50 мм, гофрированные золотистые, покр.медь 30 шт.в карт.уп;ТР Офисные принадлежности;Скрепки, кнопки, зажимы для бумаг;П;2753;82,9;20;0,2;16,58;66,32
1239380;Скрепки Attache Economy стальные, 28 мм, негофрированные, 100 шт. в уп;ТР Офисные принадлежности;Скрепки, кнопки, зажимы для бумаг;D;1650;64,4;20;0,2;12,88;51,52
933329;Зажимы для бумаг 51мм 12шт/уп Attache Economy, в карт,кор, цвет черный;ТР Офисные принадлежности;Скрепки, кнопки, зажимы для бумаг;D;16728;215;20;0,2;43;172
1140474;Клей ПВА 85г Attache 145957 Т;ТР Офисные принадлежности;Клей офисный;Т;2;22,23;20;0,2;4,446;17,784
255477;Клей-карандаш 21г Attache Economy;ТР Офисные принадлежности;Клей офисный;О;76105;40,5;20;0,2;8,1;32,4
255475;Клей-карандаш 9г Attache Economy;ТР Офисные принадлежности;Клей офисный;О;80427;30,3;20;0,2;6,06;24,24
107514;Клейкая лента канцелярская 15х10 12 шт./уп.;ТР Офисные принадлежности;Клейкие ленты и диспенсеры;О;175;231;20;0,2;46,2;184,8
107515;Клейкая лента канцелярская 15х33 12 шт./уп.;ТР Офисные принадлежности;Клейкие ленты и диспенсеры;О;2416;298;20;0,2;59,6;238,4
201928;Вертикальный накопитель Attache 90мм черный;ТР Офисные принадлежности;Накопители бумаг;О;808;232;20;0,2;46,4;185,6
484396;Лоток для бумаг Attache решетчатый серый ЛТ293АЕ;ТР Офисные принадлежности;Накопители бумаг;О;1523;268;20;0,2;53,6;214,4
1226617;Вертикальный накопитель Attache сборный 3 отделения черный,  160мм;ТР Офисные принадлежности;Накопители бумаг;О;1133;372;20;0,2;74,4;297,6
517148;Лоток для бумаг Attache эконом 3шт/уп чёрный;ТР Офисные принадлежности;Накопители бумаг;О;314;715;20;0,2;143;572
145951;Вертикальный накопитель Attache сборный 6 отделени;ТР Офисные принадлежности;Накопители бумаг;О;854;1017;20;0,2;203,4;813,6
965722;Кнопки для пробковых досок силовые Attache Economy 50 шт./уп. цв.;ТР Офисные принадлежности;Аксессуары для досок;О;232;51,8;20;0,59;30,562;21,238
